epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2150.49,0.88195,0.69567,1.01807,0.89846,0.79592,0.82783,0.59502,1.26167,0.91978,1.26672,0.000424187,0.000424187,0.000424187
43,2200.39,0.84125,0.68526,1.01109,0.85825,0.80847,0.83632,0.60555,1.23918,0.91243,1.2638,0.000417119,0.000417119,0.000417119
44,2250.19,0.8602,0.68705,1.02956,0.86694,0.81307,0.82344,0.59173,1.25914,0.92447,1.2679,0.00041005,0.00041005,0.00041005
45,2300.15,0.86675,0.6872,1.01782,0.88025,0.8068,0.83268,0.58508,1.27272,0.9417,1.27141,0.000402982,0.000402982,0.000402982
46,2350.08,0.85039,0.65252,1.00477,0.89319,0.80812,0.82926,0.58974,1.24405,0.91895,1.25248,0.000395913,0.000395913,0.000395913
47,2400.12,0.83374,0.64436,0.99998,0.8944,0.81234,0.83808,0.59191,1.26105,0.91688,1.28302,0.000388844,0.000388844,0.000388844
48,2449.96,0.83846,0.65747,1.01549,0.8802,0.82169,0.83083,0.59217,1.25051,0.9458,1.27479,0.000381776,0.000381776,0.000381776
49,2499.71,0.83625,0.6504,1.00187,0.92726,0.80302,0.83403,0.58393,1.27538,0.89492,1.28156,0.000374707,0.000374707,0.000374707
50,2549.76,0.81512,0.6259,0.9906,0.85005,0.80767,0.82134,0.58275,1.27966,0.95192,1.28662,0.000367639,0.000367639,0.000367639
51,2599.58,0.80356,0.62832,0.99326,0.89273,0.79556,0.82896,0.57592,1.27333,0.91071,1.28401,0.00036057,0.00036057,0.00036057
52,2649.45,0.78994,0.61094,0.99298,0.8663,0.81347,0.82744,0.5824,1.29529,0.92254,1.28541,0.000353501,0.000353501,0.000353501
53,2699.27,0.80624,0.61612,0.97751,0.89624,0.80218,0.83121,0.58914,1.26217,0.90897,1.27022,0.000346433,0.000346433,0.000346433
54,2749.16,0.79247,0.60252,0.97571,0.87484,0.81527,0.83484,0.59982,1.24667,0.88696,1.25096,0.000339364,0.000339364,0.000339364
55,2799.02,0.7864,0.5908,0.9798,0.88711,0.80481,0.82103,0.5801,1.27506,0.92773,1.26525,0.000332296,0.000332296,0.000332296
56,2848.96,0.77795,0.58162,0.97748,0.89488,0.80436,0.83117,0.59724,1.26645,0.88149,1.2731,0.000325227,0.000325227,0.000325227
57,2898.78,0.78855,0.58579,0.98063,0.91837,0.79001,0.83162,0.60208,1.26343,0.87755,1.27157,0.000318158,0.000318158,0.000318158
58,2948.53,0.77507,0.58307,0.97777,0.90731,0.79273,0.82365,0.59414,1.25795,0.89882,1.26848,0.00031109,0.00031109,0.00031109
59,2998.33,0.77335,0.59077,0.97447,0.88248,0.80748,0.81797,0.57636,1.29252,0.93944,1.30003,0.000304021,0.000304021,0.000304021
60,3048.22,0.76489,0.57587,0.97064,0.90222,0.80192,0.82473,0.58035,1.25755,0.90785,1.25565,0.000296953,0.000296953,0.000296953
61,3097.98,0.78692,0.57725,0.97826,0.92018,0.80517,0.83797,0.58545,1.27594,0.87043,1.27266,0.000289884,0.000289884,0.000289884
